range,mill,diff100m,eta
15000,266,-7.4,28.6
15100,268,-7.3,28.8
15200,270,-7.2,29.0
15300,272,-7.2,29.1
15400,274,-7.2,29.4
15500,276,-7.1,29.7
15600,278,-7.1,29.8
15700,280,-7.0,30.1
15800,282,-7.0,30.2
15900,284,-7.0,30.4
16000,286,-6.9,30.7
16100,288,-6.9,30.9
16200,290,-6.9,31.1
16300,292,-6.9,31.3
16400,294,-6.8,31.5
16500,296,-6.8,31.7
16600,298,-6.8,31.9
16700,300,-6.7,32.1
16800,302,-6.7,32.3
16900,304,-6.7,32.6
17000,306,-6.6,32.8
17100,308,-6.6,33.0
17200,310,-6.5,33.2
17300,312,-6.5,33.4
17400,314,-6.5,33.6
17500,316,-6.5,33.8
17600,318,-6.4,34.1
17700,320,-6.4,34.3
17800,322,-6.4,34.5
17900,325,-6.4,34.7
18000,327,-6.4,34.9
18100,329,-6.3,35.1
18200,331,-6.3,35.4
18300,333,-6.3,35.6
18400,335,-6.3,35.8
18500,337,-6.2,36.0
18600,340,-6.2,36.2
18700,342,-6.2,36.5
18800,344,-6.2,36.7
18900,346,-6.1,36.9
19000,348,-6.1,37.1
19100,350,-6.1,37.4
19200,353,-6.1,37.6
19300,355,-6.1,37.8
19400,357,-6.1,38.0
19500,359,-6.0,38.3
19600,361,-6.0,38.5
19700,364,-6.0,38.7
19800,366,-6.0,38.9
19900,368,-6.0,39.2
20000,370,-6.0,39.4
20100,373,-5.9,39.6
20200,375,-5.9,39.9
20300,377,-5.9,40.1
20400,380,-5.9,40.3
20500,382,-5.9,40.6
20600,384,-5.9,40.8
20700,386,-5.8,41.0
20800,389,-5.8,41.3
20900,391,-5.8,41.5
21000,394,-5.8,41.7
21100,396,-5.8,42.0
21200,398,-5.8,42.3
21300,401,-5.8,42.5
21400,403,-5.8,42.7
21500,405,-5.8,43.0
21600,408,-5.7,43.2
21700,410,-5.7,43.4
21800,413,-5.7,43.7
21900,415,-5.7,44.0
22000,418,-5.7,44.2
22100,420,-5.7,44.4
22200,423,-5.7,44.7
22300,425,-5.7,44.9
22400,428,-5.6,45.2
22500,430,-5.7,45.4
22600,433,-5.7,45.7
22700,435,-5.7,45.9
22800,438,-5.6,46.2
22900,441,-5.6,46.4
23000,443,-5.6,46.7
23100,446,-5.6,47.0
23200,449,-5.6,47.2
23300,451,-5.6,47.5
23400,454,-5.6,47.7
23500,457,-5.6,48.0
23600,459,-5.6,48.3
23700,462,-5.6,48.5
23800,465,-5.6,48.8
23900,468,-5.6,49.1
24000,470,-5.6,49.3
24100,473,-5.6,49.6
24200,476,-5.6,49.9
24300,479,-5.6,50.2
24400,482,-5.6,50.5
24500,485,-5.6,50.7
24600,488,-5.7,51.0
24700,491,-5.7,51.3
24800,494,-5.7,51.6
24900,497,-5.7,51.9
25000,500,-5.7,52.2
25100,503,-5.7,52.5
25200,506,-5.7,52.8
25300,509,-5.7,53.1
25400,512,-5.7,53.4
25500,515,-5.7,53.7
25600,518,-5.8,54.0
25700,522,-5.8,54.3
25800,525,-5.8,54.6
25900,528,-5.8,54.9
26000,532,-5.8,55.2
26100,535,-5.9,55.5
26200,538,-5.9,55.9
26300,542,-5.9,56.2
26400,545,-5.9,56.5
26500,549,-6.0,56.8
26600,553,-6.0,57.2
26700,556,-6.0,57.5
26800,560,-6.1,57.9
26900,564,-6.1,58.2
27000,567,-6.2,58.9
27100,571,-6.2,58.9
27200,575,-6.2,59.3
27300,579,-6.2,59.6
27400,583,-6.3,60.0
27500,587,-6.4,60.4
27600,592,-6.4,60.8
27700,596,-6.4,61.2
27800,600,-6.6,61.6
27900,605,-6.7,62.0
28000,609,-6.7,62.3
28100,614,-6.8,62.8
28200,618,-6.9,63.2
28300,624,-7.0,63.7
28400,629,-7.2,64.1
28500,634,-7.3,64.6
28600,639,-7.4,65.1
28700,645,-7.6,65.5
28800,651,-7.8,66.1
28900,657,-8.2,66.5
29000,663,-8.2,67.1
29100,669,-8.5,67.7
29200,676,-8.3,68.3
29300,684,-9.6,68.9
29400,691,-9.6,69.5
29500,700,-10.0,71.0
29600,709,-10.9,71.5
29700,719,-11.9,71.8
29800,730,-13.5,73.1
29900,744,-15.9,73.9
