range,mill,diff100m,eta
23100,233,-4.7,33.1
23200,234,-4.6,33.3
23300,235,-4.6,33.4
23400,237,-4.6,33.6
23500,238,-4.6,33.7
23600,239,-4.6,33.9
23700,240,-4.6,34.1
23800,241,-4.5,34.2
23900,242,-4.5,34.4
24000,243,-4.5,34.5
24100,244,-4.5,34.7
24200,245,-4.5,34.8
24300,246,-4.4,35.0
24400,248,-4.4,35.1
24500,249,-4.4,35.3
24600,250,-4.4,35.4
24700,251,-4.4,35.6
24800,252,-4.4,35.7
24900,253,-4.4,35.9
25000,254,-4.4,36.0
25100,255,-4.3,36.2
25200,256,-4.3,36.4
25300,258,-4.3,36.5
25400,259,-4.3,36.7
25500,260,-4.3,36.8
25600,261,-4.3,37.0
25700,262,-4.3,37.1
25800,263,-4.2,37.3
25900,264,-4.2,37.4
26000,265,-4.2,37.6
26100,266,-4.2,37.7
26200,268,-4.2,37.9
26300,269,-4.2,38.1
26400,270,-4.2,38.2
26500,271,-4.2,38.4
26600,272,-4.1,38.5
26700,273,-4.1,38.7
26800,274,-4.1,38.8
26900,276,-4.1,39.0
27000,277,-4.1,39.2
27100,278,-4.1,39.3
27200,279,-4.1,39.5
27300,280,-4.0,39.6
27400,281,-4.0,39.8
27500,282,-4.0,39.9
27600,284,-4.0,40.1
27700,285,-4.0,40.2
27800,286,-4.0,40.4
27900,287,-4.0,40.6
28000,288,-4.0,40.7
28100,289,-4.0,40.9
28200,290,-4.0,41.1
28300,292,-3.9,41.2
28400,293,-3.9,41.4
28500,294,-3.9,41.5
28600,295,-3.9,41.7
28700,296,-3.9,41.9
28800,297,-3.9,42.0
28900,299,-3.9,42.2
29000,300,-3.9,42.3
29100,301,-3.9,42.5
29200,302,-3.8,42.7
29300,303,-3.8,42.8
29400,304,-3.8,43.0
29500,306,-3.8,43.1
29600,307,-3.8,43.3
29700,308,-3.8,43.5
29800,309,-3.8,43.6
29900,310,-3.8,43.8
